,기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,집객시설_수
164,2020,2,A,골목상권,1000218,휘경로14길,6
165,2020,2,A,골목상권,1000219,휘경로23길,5
166,2020,2,A,골목상권,1000220,휘경로2길,19
167,2020,2,A,골목상권,1000221,휘경로3길,16
168,2020,2,A,골목상권,1000222,겸재로29길,25
169,2020,2,A,골목상권,1000223,겸재로36길,14
170,2020,2,A,골목상권,1000224,겸재로54길,9
171,2020,2,A,골목상권,1000225,공릉로12가길,4
172,2020,2,A,골목상권,1000226,공릉로2길,24
173,2020,2,A,골목상권,1000227,답십리로75길,6
174,2020,2,A,골목상권,1000228,동일로100길,13
175,2020,2,A,골목상권,1000229,동일로101길,15
176,2020,2,A,골목상권,1000230,동일로112길,16
177,2020,2,A,골목상권,1000231,동일로123길,19
178,2020,2,A,골목상권,1000232,동일로130길,16
179,2020,2,A,골목상권,1000233,동일로139가길,15
180,2020,2,A,골목상권,1000234,동일로139길,7
181,2020,2,A,골목상권,1000235,동일로140길,10
182,2020,2,A,골목상권,1000236,동일로149길,6
183,2020,2,A,골목상권,1000237,동일로157길,44
184,2020,2,A,골목상권,1000238,동일로163길,12
185,2020,2,A,골목상권,1000239,망우로68길,16
186,2020,2,A,골목상권,1000240,망우로73길,5
187,2020,2,A,골목상권,1000241,면목로21길,6
188,2020,2,A,골목상권,1000242,면목로33길,8
189,2020,2,A,골목상권,1000243,면목로45길,13
190,2020,2,A,골목상권,1000244,면목로48길,10
191,2020,2,A,골목상권,1000245,면목로49길,14
192,2020,2,A,골목상권,1000246,면목로55길,7
193,2020,2,A,골목상권,1000247,면목로56길,13
194,2020,2,A,골목상권,1000248,면목로78길,15
195,2020,2,A,골목상권,1000249,봉우재로33길,9
196,2020,2,A,골목상권,1000250,봉화산로30길,7
197,2020,2,A,골목상권,1000251,봉화산로4길,8
198,2020,2,A,골목상권,1000252,봉화산로56길,38
199,2020,2,A,골목상권,1000253,사가정로42길,10
200,2020,2,A,골목상권,1000254,사가정로54길,31
201,2020,2,A,골목상권,1000255,신내로7가길,7
202,2020,2,A,골목상권,1000256,용마산로100길,6
203,2020,2,A,골목상권,1000257,용마산로112길,16
204,2020,2,A,골목상권,1000258,용마산로118길,21
205,2020,2,A,골목상권,1000259,용마산로94길,16
206,2020,2,A,골목상권,1000260,중랑천로10길,16
207,2020,2,A,골목상권,1000261,길음로7길,11
208,2020,2,A,골목상권,1000262,돌곶이로14길,2
209,2020,2,A,골목상권,1000263,돌곶이로22길,7
210,2020,2,A,골목상권,1000264,돌곶이로27길,9
211,2020,2,A,골목상권,1000265,돌곶이로28길,9
