,기준_년월_코드,기준_분기_코드,기준_분기_코드.1,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수
436,2020,2,D,발달상권,1001041,서울 강남구 수서역,12418
437,2020,2,D,발달상권,1001040,서울 관악구 신림역_3,77
438,2020,2,D,발달상권,1001039,서울 서초구 남부터미널역_2,3012
439,2020,2,D,발달상권,1001038,구로디지탈1단지,43655
440,2020,2,D,발달상권,1001037,양재역,904
441,2020,2,D,발달상권,1001036,문정역,88
442,2020,2,D,발달상권,1001035,매봉역,5760
443,2020,2,D,발달상권,1001034,서울 서초구 방배역,1690
444,2020,2,D,발달상권,1001033,서울 서초구 남부터미널역_1,2033
445,2020,2,D,발달상권,1001032,서울 관악구 신림역_2,166
446,2020,2,D,발달상권,1001031,서울 관악구 신림역_1,615
447,2020,2,D,발달상권,1001030,양재역_2,2634
448,2020,2,D,발달상권,1001029,양재역_1,515
449,2020,2,D,발달상권,1001028,서울 관악구 서울대입구역_2,57
450,2020,2,D,발달상권,1001027,가산디지털단지역_3,22935
451,2020,2,D,발달상권,1001026,구로디지털단지역,91
452,2020,2,D,발달상권,1001025,서울 관악구 서울대입구역_1,1502
453,2020,2,D,발달상권,1001024,관악구 사당역_1,5523
454,2020,2,D,발달상권,1001023,가산디지털단지역_2,25194
455,2020,2,D,발달상권,1001022,관악구 사당역_2,744
456,2020,2,D,발달상권,1001021,가산디지털단지역_1,18317
457,2020,2,D,발달상권,1001020,장지역,4411
458,2020,2,D,발달상권,1001019,포이사거리_1,192
459,2020,2,D,발달상권,1001018,포이사거리_2,7673
460,2020,2,D,발달상권,1001017,관악구 사당역_3,1538
461,2020,2,D,발달상권,1001016,서울 관악구 대학동_1,662
462,2020,2,D,발달상권,1001015,서울 금천구 독산1동_1,716
463,2020,2,D,발달상권,1001014,양재동 꽃시장,1540
464,2020,2,D,발달상권,1001013,양재 화물트럭터미널앞_2,843
465,2020,2,D,발달상권,1001012,양재 화물트럭터미널앞_1,1944
466,2020,2,D,발달상권,1001011,서울 금천구 시흥1동_4,486
467,2020,2,A,골목상권,1001010,풍성로37가길,128
468,2020,2,A,골목상권,1001009,천호옛길,420
469,2020,2,A,골목상권,1001008,천호옛14길,177
470,2020,2,A,골목상권,1001007,천호대로219길,486
471,2020,2,A,골목상권,1001006,천호대로197길,239
472,2020,2,A,골목상권,1001005,천호대로187길,371
