,기준_년_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,총_유동인구_수,집객시설_수,당월_매출_금액,총 상주인구 수,아파트_단지_수,아파트_평균_면적,아파트_평균_시가
201,2020,2,전통시장,1001277,방산종합시장,1190,587312.0,30.0,53076478751.0,290.0,1.0,34.0,67500000.0
202,2020,2,전통시장,1001276,평화시장,906,37276.0,20.0,123392127876.0,,,,
203,2020,2,전통시장,1001275,인현시장,167,104204.0,3.0,5247053281.0,,,,
204,2020,2,전통시장,1001274,신중부시장,3089,701314.0,23.0,79531020659.0,,,,
205,2020,2,전통시장,1001273,남대문시장,8186,955330.0,70.0,143846537009.0,,,,
206,2020,2,전통시장,1001272,신설종합시장,50,44026.0,1.0,,,,,
207,2020,2,전통시장,1001271,동묘시장,474,622333.0,17.0,7433224956.0,739.0,5.0,27.0,111891667.0
208,2020,2,전통시장,1001270,창신골목시장,13,451620.0,14.0,4175935987.0,,,,
209,2020,2,전통시장,1001269,동문시장,3,58894.0,,373564828.0,67.0,1.0,44.0,83826923.0
210,2020,2,전통시장,1001268,충신시장,77,99343.0,2.0,215482522.0,,,,
211,2020,2,전통시장,1001267,종로신진시장,158,302040.0,9.0,15331752514.0,,,,
212,2020,2,전통시장,1001266,동대문종합시장,1319,140939.0,16.0,25440409434.0,,,,
213,2020,2,전통시장,1001265,광장시장,444,162081.0,20.0,13827925745.0,,,,
214,2020,2,전통시장,1001264,통인시장,59,240773.0,16.0,7755351020.0,663.0,6.0,92.0,270670393.0
215,2020,2,발달상권,1001263,서울 노원구 노원역_3,418,1314625.0,73.0,58047652900.0,257.0,1.0,19.0,84714286.0
216,2020,2,발달상권,1001262,서울 노원구 노원역_2,274,264899.0,37.0,16721747798.0,,,,
217,2020,2,발달상권,1001261,서울 노원구 노원역_1,336,451775.0,56.0,22402917546.0,,,,
218,2020,2,발달상권,1001260,창동역,1003,475771.0,74.0,37473090986.0,446.0,1.0,15.0,75675000.0
219,2020,2,발달상권,1001259,서울 강북구 수유역_3,70,371953.0,16.0,11078985605.0,743.0,4.0,57.0,123554067.0
220,2020,2,발달상권,1001258,등나무근린공원 주변,65,72815.0,12.0,12585234052.0,,,,
221,2020,2,발달상권,1001257,서울 강북구 수유역_2,2284,2084358.0,77.0,40710890398.0,2074.0,21.0,55.0,149208483.0
222,2020,2,발달상권,1001256,서울 강북구 수유역_1,831,336481.0,69.0,36945059521.0,790.0,8.0,44.0,119078853.0
223,2020,2,발달상권,1001255,서울 은평구 연신내역_3,108,74879.0,8.0,3235831285.0,116.0,1.0,22.0,42210526.0
224,2020,2,발달상권,1001254,서울 은평구 연신내역_2,555,1563461.0,57.0,35212974009.0,1021.0,9.0,40.0,94142927.0
225,2020,2,발달상권,1001253,서울 은평구 연신내역_1,70,650474.0,25.0,8461289076.0,203.0,4.0,41.0,155201291.0
226,2020,2,발달상권,1001252,서울 성북구 미아삼거리역_2,322,,,,911.0,2.0,39.0,108833333.0
227,2020,2,발달상권,1001251,서울 강북구 미아삼거리역_1,140,646703.0,66.0,33156823622.0,355.0,3.0,39.0,117396825.0
228,2020,2,발달상권,1001250,서울 은평구 불광역_3,67,429299.0,26.0,11720864767.0,784.0,14.0,24.0,124113913.0
229,2020,2,발달상권,1001249,서울 은평구 불광역_2,116,628635.0,30.0,11836022599.0,731.0,14.0,31.0,120582313.0
230,2020,2,발달상권,1001248,서울 은평구 불광역_1,180,414350.0,43.0,19245394905.0,536.0,12.0,46.0,121161351.0
231,2020,2,발달상권,1001247,미아사거리_2,102,45457.0,12.0,2189615112.0,,,,
232,2020,2,발달상권,1001246,미아사거리_1,210,195349.0,9.0,4137813351.0,890.0,2.0,52.0,236732297.0
233,2020,2,발달상권,1001245,서울 성북구 성신여대입구역,2865,1747946.0,56.0,34269478721.0,1105.0,5.0,35.0,140618254.0
